,Source,Date,Text,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
0,@BBC,Wed Dec 13 20:00:10 +0000 2017,London's Euston station will be turned into a shelter for the homeless on Christmas Day. ????… https://t.co/Y834ULzLu5,0.0,0.0,1.0,0.0,1
1,@BBC,Wed Dec 13 19:31:04 +0000 2017,? Why you must never pee in front of elephants... and more surprising facts. ? https://t.co/Bz8ncFjAfa https://t.co/o2vs4NJDK0,0.3384,0.146,0.854,0.0,2
2,@BBC,Wed Dec 13 19:00:02 +0000 2017,"It’s spicy, it's tangy &amp; it'll warm you right up. ??
Get the full recipe for @Rick_Stein's Sopa Azteca here. ?… https://t.co/jLcGMawMgO",0.2263,0.083,0.917,0.0,3
3,@BBC,Wed Dec 13 18:32:04 +0000 2017,Princess Margaret broke all the royal rules long before Prince Harry. ? https://t.co/RffK1BgQG0 https://t.co/TMnsg71XDB,-0.4215,0.0,0.811,0.189,4
4,@BBC,Wed Dec 13 18:00:12 +0000 2017,"Còsagach: A feeling of being snug, sheltered or cosy. ?
Scotland could offer visitors a rival to the Danish concept… https://t.co/XlVpqlvaTV",0.128,0.081,0.919,0.0,5
5,@BBC,Wed Dec 13 17:30:01 +0000 2017,"Dwayne Johnson, president, 2020?

The Graham Norton Show | @BBCOne https://t.co/TfDdY43IER",0.0,0.0,1.0,0.0,6
6,@BBC,Wed Dec 13 17:23:02 +0000 2017,"RT @bbcgenome: #OTD 2006, @StephenMerchant won a British Comedy Award for his role in Extras. Here he is pictured alongside @rickygervais a…",0.8658,0.35,0.65,0.0,7
7,@BBC,Wed Dec 13 17:00:14 +0000 2017,"'Tartes of flesh' used to include pork, hard-boiled eggs, cheese, spices, saffron, &amp; sugar in the 1300s. ?

This is… https://t.co/39MHfYnQ6Y",0.0,0.0,1.0,0.0,8
8,@BBC,Wed Dec 13 15:49:03 +0000 2017,'Meghan Markle' and 'fidget spinners' top UK Google search for 2017. https://t.co/hYKDDFVfPL https://t.co/YCbpX1K8yC,0.2023,0.13,0.87,0.0,9
9,@BBC,Wed Dec 13 15:39:29 +0000 2017,RT @BBCNewsEnts: Peter Kay fans will be pleased to hear his final 2 Car Share episodes have already been filmed and will be screened next y…,0.6249,0.181,0.819,0.0,10
10,@BBC,Wed Dec 13 15:12:05 +0000 2017,"Whether you're filling hampers or catering for a party, we've got all the biscuit recipes you need for a perfect Ch… https://t.co/9csfsG53Le",0.7506,0.262,0.738,0.0,11
11,@BBC,Wed Dec 13 14:37:03 +0000 2017,This guy made a candy cane pizza and we might need to cancel Christmas. ?? https://t.co/6DGfL53C2O https://t.co/W0pvpj4V4d,-0.25,0.0,0.882,0.118,12
12,@BBC,Wed Dec 13 14:03:03 +0000 2017,"When cold air meets warm air, ice crystals form six-sided shapes around a speck of dust, creating a snowflake! ??
W… https://t.co/NAgUr0xHZq",0.5255,0.196,0.804,0.0,13
13,@BBC,Wed Dec 13 13:30:05 +0000 2017,"Being friends with George Clooney is probably cool enough...
Now it's been revealed he's given $1 million to each o… https://t.co/AK3GUd8UXq",0.6597,0.221,0.779,0.0,14
14,@BBC,Wed Dec 13 13:14:21 +0000 2017,RT @bbcthree: PLOT TWIST. #TheApprentice https://t.co/eIpXZy7Jm2,0.0,0.0,1.0,0.0,15
15,@BBC,Wed Dec 13 13:11:33 +0000 2017,RT @bbccomedy: French and Saunders celebrate 300 years in showbiz! ? @FerriFrump @Dawn_French https://t.co/X8WgKukZ8W,0.6114,0.25,0.75,0.0,16
16,@BBC,Wed Dec 13 13:00:02 +0000 2017,"'It was brilliant to sweep in to a room and say, ""hokey-cokey pig in a pokey, good morning job seekers!""'

Who's ex… https://t.co/Ejnm3jvDOP",0.7901,0.269,0.731,0.0,17
17,@BBC,Wed Dec 13 12:30:02 +0000 2017,"This woman is showing people how to turn their food pics into #FoodPorn. ??
Via BBC Minute. https://t.co/sScwTTcPuB",0.0,0.0,1.0,0.0,18
18,@BBC,Wed Dec 13 12:27:30 +0000 2017,"RT @BBCR1: ?? @SamSmithWorld got everyone in their feelings with his Christmas cover ??

https://t.co/Y1B16frQ4p",0.0,0.0,1.0,0.0,19
19,@BBC,Wed Dec 13 12:21:18 +0000 2017,"RT @BBCR1: How stunning is this? 

@SamSmithWorld covering Have Yourself A Merry Little Christmas is totally perfect. ? https://t.co/7rJdEM…",0.8777,0.419,0.581,0.0,20
20,@BBC,Wed Dec 13 12:09:04 +0000 2017,"RT @BBCR1: THAT VOICE ?

So good to have @SamSmithWorld back in the Live Lounge. One Last Song sounds SO beautiful (and pretty festive, no?…",0.9455,0.433,0.567,0.0,21
21,@BBC,Wed Dec 13 12:00:08 +0000 2017,Late Junction has spent the year traversing the outer edges of musical experimentation to find the most interesting… https://t.co/D9YD5pVIDU,0.0,0.0,1.0,0.0,22
22,@BBC,Wed Dec 13 11:52:55 +0000 2017,"RT @bbcmusic: ? @Harry_Styles stepped in to host @JKCorden's TV show last night (with 2.5 hours notice!)
? https://t.co/KMPl2POLrC https://…",0.0,0.0,1.0,0.0,23
23,@BBC,Wed Dec 13 11:42:41 +0000 2017,"RT @BBCTwo: In 2012, Daniel lost both his legs after being run over by a police vehicle.

Since then, he's applied for over 800 jobs... but…",-0.3182,0.0,0.913,0.087,24
24,@BBC,Wed Dec 13 10:39:21 +0000 2017,"French and Saunders celebrate 300 years in showbiz. ?

Full interview ? https://t.co/rompNHRjh8

300 Years of Frenc… https://t.co/kzA69viRu4",0.5719,0.198,0.802,0.0,25
25,@BBC,Wed Dec 13 10:18:11 +0000 2017,"'Rousing.' 'Thrilling.' 'Addictively bold.'
Just a few of the superlatives critics are using to describe the latest… https://t.co/nIKR8Odx8e",-0.296,0.0,0.879,0.121,26
26,@BBC,Wed Dec 13 09:00:05 +0000 2017,"Coronary heart disease is the biggest killer in the UK, causing almost 74,000 deaths each year. 
????  Here are 10… https://t.co/7zMRqir8VH",-0.6486,0.0,0.823,0.177,27
27,@BBC,Wed Dec 13 08:40:01 +0000 2017,"Steph's a cheerleading world champion. She's also blind. ????
Via @BBCStories. https://t.co/CktGzvfE1P",0.5267,0.363,0.476,0.161,28
28,@BBC,Wed Dec 13 08:20:03 +0000 2017,There's great pleasure in realising that total unknowns can be as brilliant as your favourite recording artists. ??… https://t.co/ohcGDgymVJ,0.9118,0.42,0.58,0.0,29
29,@BBC,Wed Dec 13 08:00:04 +0000 2017,The 'Godfather of Coral' has identified more than 20% of the world's coral species &amp; transformed our understanding… https://t.co/tRtikV4SbW,0.0,0.0,1.0,0.0,30
30,@BBC,Wed Dec 13 07:38:04 +0000 2017,"Feelings of stress and anxiety disorders are extremely common. Remember, you're not alone in this and you don't hav… https://t.co/Zw8sl2UxTU",-0.4137,0.075,0.731,0.194,31
31,@BBC,Tue Dec 12 20:30:05 +0000 2017,'I’m talking about my rape to encourage other male victims to do the same.' https://t.co/KJuXHNo0oC https://t.co/KeO7ujanSr,-0.5719,0.142,0.558,0.3,32
32,@BBC,Tue Dec 12 20:00:09 +0000 2017,"Overfishing and changing sea temperatures are pushing seabirds to the brink of extinction, according to new data. ?… https://t.co/Gm4wOSz6TB",0.0,0.0,1.0,0.0,33
33,@BBC,Tue Dec 12 19:30:05 +0000 2017,"'The Spice Girls only had one black member and she was called Scary!' ?
#LiveAtTheApollo via @BBCTwo. https://t.co/ttkiAvosb6",0.0,0.0,1.0,0.0,34
34,@BBC,Tue Dec 12 19:19:59 +0000 2017,"RT @bbccomedy: When the help's so helpful, but you just can't stand her helping. #FirstWorldProblems #Motherland @MissDianeMorgan https://t…",-0.0062,0.112,0.775,0.113,35
35,@BBC,Tue Dec 12 19:19:47 +0000 2017,"RT @bbcstories: “I’m being led by the hand by my child, not the other way around.” - Richard's son Jaco has autism, and their relationship…",0.4939,0.122,0.878,0.0,36
36,@BBC,Tue Dec 12 19:19:14 +0000 2017,"RT @BBCOne: “It’s gold.” #TheAWord cast explain what is so special about the show. 

Tonight. 9pm. @BBCOne. https://t.co/hP8zufMx79",0.541,0.17,0.83,0.0,37
37,@BBC,Tue Dec 12 19:19:06 +0000 2017,RT @TWBBC: If you're in Glasgow Wednesday night expand your mind with the Tomorrow's World Live show at the Science Centre - all about brai…,0.3182,0.091,0.909,0.0,38
38,@BBC,Tue Dec 12 19:18:57 +0000 2017,"RT @BBCScotland: ""IT'S THE KETTLE!"" ?

#ScotSquad 
@Gradowrestling // @Mani2thaJ https://t.co/hc1bob5blR",0.0,0.0,1.0,0.0,39
39,@BBC,Tue Dec 12 19:18:27 +0000 2017,RT @BBCWomansHour: Neuroscientist @sophiescott explains how we can tell what people are REALLY thinking ?? (by reading their microexpressio…,0.0,0.0,1.0,0.0,40
40,@BBC,Tue Dec 12 19:17:56 +0000 2017,RT @BBC6Music: ?? ?? Scissors at the ready... Make your own @NoelGallagher Christmas decoration to put on your high-flying sleigh ahead of…,0.0,0.0,1.0,0.0,41
41,@BBC,Tue Dec 12 19:16:42 +0000 2017,"RT @BBCSpringwatch: 10 glorious photos of British wildlife in the snow
https://t.co/Ap7kaHaozX https://t.co/hEeEvk6hSN",0.6369,0.259,0.741,0.0,42
42,@BBC,Tue Dec 12 19:00:03 +0000 2017,"In the 3rd episode of @TWBBC Live, we explore how today’s scientific research &amp; technology is changing how we care… https://t.co/4zopZ7DvfC",0.0,0.0,1.0,0.0,43
43,@BBC,Tue Dec 12 18:30:05 +0000 2017,"Will we get a white Christmas? ??
We actually get snow on Christmas Day more often than you might think - but it de… https://t.co/6Yyu2Uuux0",0.0,0.0,1.0,0.0,44
44,@BBC,Tue Dec 12 18:00:07 +0000 2017,"?? Some of the best Christmas world records: Instadogs, Susan Boyle and surfing Santas. https://t.co/MKT10qhvmL https://t.co/PdthEWx1ew",0.6369,0.219,0.781,0.0,45
45,@BBC,Tue Dec 12 17:30:05 +0000 2017,"Vinny Singh breaks down the questions that a Sikh gets asked. 
Via @BBCTheSocial. https://t.co/TzDifjETu6",0.0,0.0,1.0,0.0,46
46,@BBC,Tue Dec 12 16:58:17 +0000 2017,National treasures @Dawn_French &amp; Jennifer Saunders (@ferrifrump) are back together this festive season with a spec… https://t.co/7zRCfpqGN7,0.743,0.31,0.69,0.0,47
47,@BBC,Tue Dec 12 16:30:01 +0000 2017,?? Your pictures of beautiful Scotland from last week. Via @BBCScotland. https://t.co/oCDu9gmx6j,0.5994,0.262,0.738,0.0,48
48,@BBC,Tue Dec 12 16:07:17 +0000 2017,"RT @bbc5live: ""Tom gave the ultimate gift"" 

Lisa donated her son's organs after he died two years ago. https://t.co/DfvkAgRnoF",-0.1779,0.123,0.723,0.153,49
49,@BBC,Tue Dec 12 15:34:04 +0000 2017,The eight party season commandments that'll help you survive all the festivities. ?? https://t.co/2syg9lMOae https://t.co/44WFAPi0HB,0.8176,0.415,0.585,0.0,50
50,@BBC,Tue Dec 12 15:05:52 +0000 2017,RT @BBCiPlayer: ? Planning a ski holiday? @ClaudiaWinkle has a special message for you ? https://t.co/9bgFssqWxj,0.6597,0.351,0.649,0.0,51
51,@BBC,Tue Dec 12 15:04:37 +0000 2017,"RT @BBCOne: #TheApprentice. Emoji style.
???????? https://t.co/wVHbF7LKIZ",0.0,0.0,1.0,0.0,52
52,@BBC,Tue Dec 12 15:00:10 +0000 2017,"?? #BluePlanet2 has become @BBCiPlayer’s most popular programme of the year so far, with 4.2 million requests for t… https://t.co/m9bcExK8fz",0.4754,0.14,0.86,0.0,53
53,@BBC,Tue Dec 12 14:30:09 +0000 2017,? @BBCOne has announced a new Saturday night game show to launch in the run up to Sport Relief 2018.… https://t.co/26UoAkfV8d,0.4767,0.147,0.853,0.0,54
54,@BBC,Tue Dec 12 14:00:05 +0000 2017,New research suggests that #ManFlu is a real thing. ? https://t.co/zMM12bFOCy,0.0,0.0,1.0,0.0,55
55,@BBC,Tue Dec 12 13:30:04 +0000 2017,"? @Nigella_Lawson's 'forgotten cookies' recipe is one to remember this Christmas. 
Full recipe here ?… https://t.co/Ti9tNmAlsb",-0.2263,0.0,0.881,0.119,56
56,@BBC,Tue Dec 12 13:00:05 +0000 2017,"? In the final episode of #BluePlanet2, David Attenborough explored some of the issues facing life in the oceans.… https://t.co/LGXeb4XRnH",0.0,0.0,1.0,0.0,57
57,@BBC,Tue Dec 12 12:50:40 +0000 2017,"RT @BBCR1: ?? @EdSheeran just took on a HUGE Christmas song in the Live Lounge ??

https://t.co/Nu8EtGE2Go",0.4648,0.168,0.832,0.0,58
58,@BBC,Tue Dec 12 12:50:26 +0000 2017,"RT @BBCR1: It's a HUGE Christmas song, but they did it! ?

@EdSheeran, @AnneMarieIAm and @beogamusic totally nailed their cover of Fairytal…",0.3201,0.108,0.892,0.0,59
59,@BBC,Tue Dec 12 12:30:01 +0000 2017,"#TheLeagueofGentlemen
Coming 18, 19 &amp; 20 December on @BBCTwo!
Via @BBCComedy. https://t.co/6kxS3Pgdwr",0.0,0.0,1.0,0.0,60
60,@BBC,Tue Dec 12 12:00:09 +0000 2017,??? 6 dramatic ways pop stars tried to get out of their record contract. https://t.co/OR4LXmoqPa https://t.co/tzXmCm7qbu,0.0,0.0,1.0,0.0,61
61,@BBC,Tue Dec 12 10:53:45 +0000 2017,"RT @BBCTwo: How do you stage a nativity in the car park of a Bethlehem hotel? And, more importantly, how do you make it snow? #TheAlternati…",0.4503,0.114,0.886,0.0,62
62,@BBC,Tue Dec 12 10:52:21 +0000 2017,"RT @BBCFOUR: Transit vans, transport cafes, B&amp;Bs and roadies. It's all glamour in the world of rock 'n' roll on the road. Watch now on @BBC…",0.5267,0.12,0.88,0.0,63
63,@BBC,Tue Dec 12 10:46:48 +0000 2017,"RT @BBC6Music: ? What was your favourite song and album of 2017? 

@BBC6Breakfast are warming up for Thursday’s 6 Music Recommends Best of…",0.7717,0.3,0.7,0.0,64
64,@BBC,Tue Dec 12 10:46:26 +0000 2017,"RT @bbcmusic: TODAY IS THE DAY ?
@EdSheeran joins @BBCR1 for a festive Live Lounge today from 12pm
Listen to @ClaraAmfo live from 12pm ? ht…",0.4588,0.12,0.88,0.0,65
65,@BBC,Tue Dec 12 10:38:16 +0000 2017,@bbcstories Watch the full story on @BBCiPlayer ? https://t.co/YJEr8AwTW5,0.0,0.0,1.0,0.0,66
66,@BBC,Tue Dec 12 10:33:47 +0000 2017,RT @bbc5live: Former footballer Clarke Carlisle was reported missing by his wife earlier this year and was found safe as he struggled with…,-0.1779,0.105,0.727,0.167,67
67,@BBC,Tue Dec 12 09:43:09 +0000 2017,RT @bbcpress: Duke and Duchess of Cambridge awarded a Gold #BluePeter Badge: https://t.co/an7MZsZyHr @KensingtonRoyal @CBBC https://t.co/uF…,0.4019,0.162,0.838,0.0,68
68,@BBC,Tue Dec 12 09:00:06 +0000 2017,"Is the sea really blue? ?
Variation in sea colour, it turns out, is due to both physics and biology.… https://t.co/QdQWVAJU3A",0.0,0.0,1.0,0.0,69
69,@BBC,Tue Dec 12 08:40:01 +0000 2017,"The amazing story of one daughter, two families a world apart, and a reunion 20 years in the making. ?? Via… https://t.co/ERruKhHI4s",0.5859,0.167,0.833,0.0,70
